Batch Size,L1 Nodes,L1 Regularization,L1 Dropout,L2 Nodes,L2 Regularization,L2 Dropout,Learning Rate,Accuracy
6.0,58.0,0.8,0.14,361.0,0.0008,0.47,0.2,0.4615384638309479
380.0,137.0,0.30000000000000004,0.29,323.0,0.0004,0.69,7.000000000000001e-05,0.5822784900665283
489.0,492.0,0.00030000000000000003,0.05,75.0,0.0009000000000000002,0.55,0.0007,0.5569620132446289
232.0,365.0,0.03,0.59,134.0,0.0,0.48,0.008,0.5886076092720032
254.0,486.0,0.0,0.07,159.0,0.0009000000000000002,0.07,0.04,0.4615384638309479
345.0,115.0,0.01,0.12,182.0,0.0005,0.29,0.04,0.5886076092720032
447.0,78.0,0.0009000000000000002,0.53,155.0,0.7000000000000001,0.45,6e-06,0.5379746556282043
476.0,462.0,0.07,0.59,294.0,9e-05,0.62,0.05,0.5759493708610535
71.0,455.0,0.30000000000000004,0.34,317.0,0.005,0.74,0.9,0.4805709719657898
471.0,472.0,0.0,0.63,120.0,0.0,0.74,0.0009000000000000002,0.5917721390724182
216.0,59.0,0.006,0.17,87.0,0.1,0.63,0.05,0.594936728477478
127.0,390.0,0.9,0.02,393.0,0.0004,0.12,1e-05,0.5316455960273743
339.0,45.0,0.009000000000000001,0.77,44.0,0.0005,0.33,0.0009000000000000002,0.5791139006614685
358.0,454.0,0.02,0.46,287.0,0.006999999999999999,0.07,0.0006000000000000001,0.5917721390724182
234.0,393.0,6.0000000000000015e-05,0.53,119.0,0.0005,0.67,5e-06,0.4810126721858978
113.0,264.0,2e-05,0.61,286.0,1e-05,0.4,0.006999999999999999,0.5917721390724182
448.0,211.0,0.5,0.18,79.0,0.4,0.43,8e-06,0.4778481125831604
487.0,265.0,0.0,0.48,283.0,0.0002,0.24,0.0006000000000000001,0.5854430198669434
98.0,112.0,0.7000000000000001,0.69,193.0,0.0002,0.09,0.00030000000000000003,0.5063291192054749
483.0,151.0,0.8,0.03,422.0,3.0000000000000008e-05,0.0,0.05,0.5297383069992065
365.0,429.0,0.004,0.28,443.0,1e-05,0.35,0.004,0.5886076092720032
106.0,183.0,0.0,0.73,471.0,0.7000000000000001,0.4,0.02,0.594936728477478
371.0,116.0,0.001,0.8,327.0,0.1,0.11,0.08,0.5305313467979431
250.0,437.0,0.0009000000000000002,0.37,484.0,0.7000000000000001,0.59,4e-06,0.5506328940391539
