Batch Size,L1 Nodes,L1 Regularization,L1 Dropout,L2 Nodes,L2 Regularization,L2 Dropout,Learning Rate,Accuracy
350.0,442.0,0.009000000000000001,0.31,67.0,0.08,0.13,0.0004,0.14374999701976776
226.0,441.0,3.000000000000001e-05,0.07,409.0,0.00030000000000000003,0.23,0.03,0.10555121302604677
152.0,199.0,0.0009000000000000002,0.79,494.0,0.0,0.34,0.03,0.12587960064411166
240.0,278.0,0.7000000000000001,0.03,298.0,0.08,0.25,0.1,0.11415167897939682
367.0,298.0,0.0001,0.78,35.0,0.0,0.58,0.006999999999999999,0.15000000596046448
258.0,159.0,2e-05,0.66,209.0,0.01,0.03,0.9,0.1086786538362503
13.0,247.0,0.2,0.16,211.0,0.02,0.73,7.000000000000002e-06,0.10946051776409148
497.0,246.0,0.8,0.2,163.0,0.6000000000000001,0.65,4e-05,0.109375
292.0,387.0,0.0,0.46,219.0,0.0009000000000000002,0.79,0.01,0.14687499403953552
226.0,330.0,0.02,0.14,394.0,0.08,0.45,0.2,0.10555121302604677
132.0,400.0,5e-05,0.09,159.0,0.7000000000000001,0.68,1e-06,0.15312500298023224
132.0,403.0,0.0,0.28,357.0,0.04,0.43,6e-06,0.15312500298023224
195.0,280.0,0.05,0.27,270.0,0.4,0.44,0.0009000000000000002,0.12187500298023225
54.0,298.0,0.02,0.66,32.0,0.5,0.36,1e-05,0.13437500596046448
178.0,232.0,0.003,0.63,157.0,0.8,0.24,0.5,0.10312499850988388
330.0,445.0,0.0004,0.47,112.0,0.00030000000000000003,0.5,0.30000000000000004,0.10312499850988388
289.0,123.0,0.9,0.08,75.0,0.0002,0.24,0.0006000000000000001,0.14374999701976776
105.0,242.0,0.5,0.64,265.0,9e-05,0.36,0.01,0.12118843197822572
200.0,477.0,0.8,0.21,99.0,0.0,0.04,2e-06,0.1469898372888565
351.0,204.0,0.2,0.11,199.0,0.6000000000000001,0.16,0.8,0.09687499701976776
247.0,428.0,0.09,0.78,89.0,0.8,0.3,0.05,0.114933542907238
397.0,175.0,0.003,0.25,111.0,0.07,0.27,0.0005,0.15312500298023224
155.0,192.0,6.0000000000000015e-05,0.18,167.0,0.009000000000000001,0.48,0.09,0.11249999701976776
434.0,465.0,0.00030000000000000003,0.33,467.0,0.0,0.62,0.009000000000000001,0.125
493.0,66.0,0.002,0.23,288.0,0.0004,0.24,0.002,0.15000000596046448
5.0,79.0,0.7000000000000001,0.37,450.0,2e-05,0.55,0.001,0.10312499850988388
46.0,473.0,0.4,0.29,213.0,0.0004,0.33,8e-06,0.13124999403953552
100.0,387.0,0.08,0.2,78.0,0.0007,0.46,0.30000000000000004,0.11024237424135208
449.0,94.0,0.5,0.22,122.0,0.0,0.5,3.0000000000000008e-05,0.14374999701976776
472.0,378.0,0.006999999999999999,0.13,39.0,0.0008,0.61,0.5,0.10312499850988388
152.0,299.0,0.07,0.58,110.0,0.09,0.0,0.0006000000000000001,0.13124999403953552
499.0,292.0,0.09,0.33,279.0,0.0004,0.45,0.0004,0.13124999403953552
283.0,451.0,0.5,0.77,183.0,0.0007,0.53,0.1,0.10312499850988388
246.0,385.0,6.0000000000000015e-05,0.09,62.0,7.000000000000001e-05,0.16,0.30000000000000004,0.1086786538362503
382.0,45.0,7.000000000000001e-05,0.46,292.0,0.0002,0.48,4e-06,0.05937499925494194
35.0,197.0,8e-05,0.41,146.0,0.0,0.74,0.002,0.15312500298023224
313.0,394.0,0.002,0.56,261.0,0.0,0.05,0.30000000000000004,0.10312499850988388
373.0,135.0,0.08,0.71,367.0,0.06,0.69,9e-05,0.11249999701976776
301.0,92.0,0.0001,0.56,496.0,0.0004,0.62,0.0007,0.14687499403953552
126.0,403.0,0.6000000000000001,0.58,478.0,0.03,0.02,0.0006000000000000001,0.10312499850988388
312.0,373.0,0.09,0.28,134.0,0.004,0.34,4e-05,0.12812499701976776
166.0,125.0,0.1,0.53,140.0,0.06,0.07,0.4,0.10312499850988388
304.0,254.0,0.008,0.65,207.0,0.0002,0.73,2e-05,0.13124999403953552
336.0,68.0,0.0009000000000000002,0.54,101.0,0.0,0.43,0.03,0.11249999701976776
293.0,215.0,0.0002,0.65,5.0,0.6000000000000001,0.78,7.000000000000001e-06,0.11562500149011612
103.0,71.0,0.0006000000000000001,0.01,396.0,0.001,0.02,0.0005,0.12812499701976776
79.0,248.0,0.08,0.28,223.0,0.001,0.54,5e-05,0.13437500596046448
