Batch Size,L1 Nodes,L1 Regularization,L1 Dropout,L2 Nodes,L2 Regularization,L2 Dropout,Learning Rate,Accuracy
50.0,106.0,0.02,0.43,54.0,0.9,0.08,0.00030000000000000003,0.5206349492073059
70.0,162.0,8e-05,0.76,211.0,4e-05,0.8,0.03,0.42619046568870544
800.0,223.0,0.0,0.56,156.0,0.03,0.46,0.08,0.5142857432365417
800.0,294.0,0.5,0.51,157.0,0.0,0.11,0.7000000000000001,0.4126984179019928
10.0,292.0,9e-05,0.72,211.0,0.0008,0.25,0.30000000000000004,0.24761904776096344
1.0,177.0,0.0007,0.78,170.0,2e-05,0.78,0.09,0.3285714387893677
60.0,285.0,0.001,0.1,141.0,0.7000000000000001,0.48,0.02,0.4920634925365448
30.0,297.0,0.03,0.7,36.0,3.000000000000001e-05,0.7,4e-05,0.4928571283817291
600.0,188.0,0.0002,0.75,220.0,0.0,0.62,0.4,0.4134920537471771
500.0,152.0,0.0009000000000000002,0.06,130.0,0.6000000000000001,0.69,0.0007,0.5111111402511597
900.0,297.0,8e-05,0.08,287.0,0.001,0.42,0.006999999999999999,0.3809523880481721
900.0,220.0,0.0004,0.4,139.0,0.9,0.25,0.08,0.5142857432365417
60.0,126.0,0.001,0.14,175.0,0.0,0.36,8e-06,0.5079365372657776
9.0,172.0,0.001,0.7,107.0,0.0009000000000000002,0.34,0.0004,0.498412698507309
1.0,225.0,0.003,0.11,271.0,0.09,0.79,1e-06,0.5015873312950134
20.0,256.0,0.09,0.77,231.0,9e-05,0.01,0.02,0.4126984179019928
30.0,208.0,0.001,0.45,296.0,0.001,0.01,0.0001,0.4920634925365448
300.0,124.0,0.0005,0.33,6.0,5e-05,0.56,4e-05,0.4539682567119598
1.0,273.0,0.2,0.57,266.0,0.05,0.25,0.6000000000000001,0.24761904776096344
9.0,92.0,0.09,0.49,207.0,0.003,0.22,0.00030000000000000003,0.4571428596973419
10.0,88.0,0.009000000000000001,0.08,37.0,0.07,0.4,0.7000000000000001,0.4126984179019928
10.0,141.0,0.003,0.25,169.0,1e-05,0.45,2e-05,0.4698412716388702
200.0,81.0,8e-05,0.4,219.0,0.005,0.04,0.0009000000000000002,0.4674603044986725
70.0,166.0,0.05,0.8,61.0,0.6000000000000001,0.19,2e-05,0.4690476059913635
500.0,87.0,0.0,0.21,293.0,0.002,0.79,0.5,0.4134920537471771
500.0,42.0,2e-05,0.72,127.0,0.07,0.0,0.03,0.5111111402511597
7.0,219.0,0.0001,0.46,272.0,0.0009000000000000002,0.52,0.06,0.4158730208873749
40.0,181.0,0.0002,0.07,249.0,0.005,0.14,0.6000000000000001,0.4126984179019928
40.0,282.0,0.0002,0.73,165.0,0.0,0.28,0.0008,0.4158730208873749
4.0,200.0,4e-05,0.02,107.0,0.0,0.59,9e-05,0.4761904776096344
50.0,69.0,0.5,0.46,243.0,8e-05,0.68,0.0004,0.5079365372657776
30.0,269.0,5e-05,0.55,199.0,0.003,0.74,7.000000000000003e-06,0.5174603462219238
50.0,252.0,0.0001,0.25,161.0,0.003,0.8,0.07,0.4325396716594696
